"location","year","sex","total"
"Bahrain",2002,"male",18
"Bahrain",2003,"female",5
"Bahrain",2003,"male",29
"Bahrain",2004,"female",7
"Bahrain",2004,"male",35
"Bahrain",2005,"female",7
"Bahrain",2005,"male",35
"Bahrain",2006,"female",11
"Bahrain",2006,"male",17
"Bahrain",2007,"female",6
"Bahrain",2007,"male",34
"Bahrain",2008,"female",8
"Bahrain",2008,"male",35
"Bahrain",2009,"female",6
"Bahrain",2009,"male",30
"Bahrain",2010,"female",4
"Bahrain",2010,"male",15
"Bahrain",2011,"female",6
"Bahrain",2011,"male",12
"Bahrain",2012,"female",1
"Bahrain",2012,"male",18
"Bahrain",2013,"female",0
"Bahrain",2013,"male",5
"Bahrain",2014,"female",1
"Bahrain",2014,"male",8
"Barbados",1985,"female",2
"Barbados",1985,"male",5
"Barbados",1986,"female",1
"Barbados",1986,"male",7
"Barbados",1987,"female",2
"Barbados",1987,"male",4
"Barbados",1988,"female",1
"Barbados",1988,"male",11
"Barbados",1989,"female",4
"Barbados",1989,"male",12
"Barbados",1990,"female",3
"Barbados",1990,"male",13
"Barbados",1991,"female",4
"Barbados",1991,"male",13
"Barbados",1992,"female",3
"Barbados",1992,"male",11
"Barbados",1993,"female",1
"Barbados",1993,"male",15
"Barbados",1994,"female",4
"Barbados",1994,"male",10
"Barbados",1995,"female",5
"Barbados",1995,"male",12
"Barbados",2000,"female",2
"Barbados",2000,"male",8
"Barbados",2001,"female",0
"Barbados",2001,"male",2
"Barbados",2002,"female",0
"Barbados",2002,"male",0
"Barbados",2003,"female",0
"Barbados",2003,"male",0
"Barbados",2004,"female",0
"Barbados",2004,"male",3
"Barbados",2005,"female",0
"Barbados",2005,"male",1
"Barbados",2006,"female",0
"Barbados",2006,"male",9
"Barbados",2007,"female",0
"Barbados",2007,"male",0
"Barbados",2008,"female",1
"Barbados",2008,"male",0
"Barbados",2009,"female",0
"Barbados",2009,"male",5
"Barbados",2010,"female",0
"Barbados",2010,"male",3
"Barbados",2011,"female",0
"Barbados",2011,"male",0
"Barbados",2012,"female",0
"Barbados",2012,"male",0
"Barbados",2013,"female",0
"Barbados",2013,"male",0
"Belarus",1990,"female",435
"Belarus",1990,"male",1650
"Belarus",1991,"female",442
"Belarus",1991,"male",1727
"Belarus",1992,"female",470
"Belarus",1992,"male",1954
"Belarus",1993,"female",525
"Belarus",1993,"male",2360
"Belarus",1994,"female",571
"Belarus",1994,"male",2582
"Belarus",1995,"female",514
"Belarus",1995,"male",2689
"Belarus",1996,"female",546
"Belarus",1996,"male",3081
"Belarus",1997,"female",562
"Belarus",1997,"male",2964
"Belarus",1998,"female",550
"Belarus",1998,"male",3006
"Belarus",1999,"female",529
"Belarus",1999,"male",2868
"Belarus",2000,"female",505
"Belarus",2000,"male",2978
"Belarus",2001,"female",490
"Belarus",2001,"male",2813
"Belarus",2002,"female",511
"Belarus",2002,"male",2780
"Belarus",2003,"female",540
"Belarus",2003,"male",2916
"Belarus",2007,"female",456
"Belarus",2007,"male",2203
"Belarus",2008,"female",471
"Belarus",2008,"male",2187
"Belarus",2009,"female",505
"Belarus",2009,"male",2238
"Belarus",2010,"female",390
"Belarus",2010,"male",2069
"Belarus",2011,"female",380
"Belarus",2011,"male",1792
"Belarus",2013,"female",334
"Belarus",2013,"male",1568
"Belarus",2014,"female",276
"Belarus",2014,"male",1465
"Belgium",1985,"female",759
"Belgium",1985,"male",1522
"Belgium",1986,"female",714
"Belgium",1986,"male",1488
"Belgium",1987,"female",695
"Belgium",1987,"male",1543
"Belgium",1988,"female",643
"Belgium",1988,"male",1353
"Belgium",1989,"female",582
"Belgium",1989,"male",1338
"Belgium",1990,"female",592
"Belgium",1990,"male",1303
"Belgium",1991,"female",527
"Belgium",1991,"male",1278
"Belgium",1992,"female",565
"Belgium",1992,"male",1313
"Belgium",1993,"female",590
"Belgium",1993,"male",1552
"Belgium",1994,"female",588
"Belgium",1994,"male",1543
"Belgium",1995,"female",605
"Belgium",1995,"male",1550
"Belgium",1996,"female",555
"Belgium",1996,"male",1458
"Belgium",1997,"female",595
"Belgium",1997,"male",1551
"Belgium",1998,"female",557
"Belgium",1998,"male",1462
"Belgium",1999,"female",496
"Belgium",1999,"male",1361
"Belgium",2000,"female",617
"Belgium",2000,"male",1526
"Belgium",2001,"female",583
"Belgium",2001,"male",1582
"Belgium",2002,"female",579
"Belgium",2002,"male",1497
"Belgium",2003,"female",554
"Belgium",2003,"male",1537
"Belgium",2004,"female",537
"Belgium",2004,"male",1450
"Belgium",2005,"female",552
"Belgium",2005,"male",1477
"Belgium",2006,"female",540
"Belgium",2006,"male",1395
"Belgium",2007,"female",537
"Belgium",2007,"male",1320
"Belgium",2008,"female",547
"Belgium",2008,"male",1452
"Belgium",2009,"female",554
"Belgium",2009,"male",1459
"Belgium",2010,"female",563
"Belgium",2010,"male",1450
"Belgium",2011,"female",600
"Belgium",2011,"male",1488
